1700382075,39780,Discharging
1700647875,44760,Discharging
1700978178,31770,Discharging
1700814772,34560,Discharging
1700754911,11235,Charging
1700900012,20130,Discharging
1700959813,44040,Discharging
1700826419,27525,Discharging
1701343473,8775,Charging
1701332744,27090,Discharging
1700225977,21285,Discharging
1700220062,31155,Discharging
1701317208,30735,Discharging
1700651227,33855,Discharging
1700199543,14370,Discharging
1700902498,29415,Charging
1700381921,40140,Discharging
1701057838,39600,Discharging
1700368561,40395,Charging
1701103567,9075,Charging
1701083740,36510,Discharging
1700960176,43980,Discharging
1700729931,26670,Discharging
1700143273,43200,Discharging
1700386828,30645,Discharging
1700287223,54000,Discharging
1700741233,43650,Charging
1700958667,54000,Discharging
1701003239,9780,Discharging
1700210218,36540,Discharging
1700443148,27780,Discharging
1701084351,36225,Discharging
1701094541,24885,Discharging
1700670677,43935,Discharging
1700571218,22545,Charging
1700651166,34050,Discharging
1700369364,40365,Discharging
1700825676,28905,Discharging
1701134424,44790,Discharging
1701318683,27930,Discharging
1700724343,38205,Discharging
1700478898,26025,Discharging
1700793995,54000,Discharging
1700812325,37440,Discharging
1700979651,26940,Discharging
1701002080,11820,Discharging
1700382106,39765,Discharging
1700189071,26445,Discharging
1700736695,18195,Charging
1701004592,18105,Discharging
1700736826,18990,Charging
1700842631,40170,Discharging
1700201329,11475,Discharging
1700381954,40065,Discharging
1700386839,30630,Discharging
1700907794,45210,Discharging
1701004580,18105,Discharging
1700659982,16125,Discharging
1701052960,54000,Discharging
1700252776,54000,Charging
1700975342,37710,Discharging
1701003248,9765,Charging
1700700183,38625,Discharging
1700906946,45435,Discharging
1700900443,19440,Charging
1700443183,27675,Discharging
1701133989,54000,Discharging
1701258558,31275,Discharging
1701318589,27960,Discharging
1700252687,54000,Charging
1700210106,36885,Discharging
1700962577,38820,Discharging
1700585575,54000,Charging
1700742559,45435,Charging
1700666313,23790,Charging
1700900438,19440,Discharging
1700479249,25320,Discharging
1700617527,54000,Discharging
1700754906,11250,Discharging
1700231641,8820,Discharging
1700206739,42870,Discharging
1700216631,35925,Discharging
1700232470,9705,Charging
1700492468,23460,Discharging
1700236255,33495,Charging
1700570315,16935,Charging
1700830440,21615,Discharging
1700886128,35415,Discharging
1701009398,8670,Charging
1700831763,21480,Discharging
1700843693,38280,Discharging
1700219123,31275,Discharging
1701134033,54000,Discharging
1701083817,36330,Discharging
1700287633,44505,Discharging
1700872076,35880,Discharging
1701218575,42885,Discharging
1701058098,38970,Discharging
1701344862,17145,Charging
1700193376,14820,Discharging
1700387159,30405,Discharging
1700663916,8850,Charging
1700670656,43965,Discharging
1700793965,54000,Discharging
1700742573,45435,Charging
1700826691,27480,Discharging
1701001945,11850,Discharging
1701056952,39705,Discharging
1700926021,8865,Charging
1700647910,44520,Discharging
1700813675,34680,Discharging
1700443637,26850,Discharging
1700742560,45435,Discharging
1700568159,21555,Discharging
1700995563,21390,Discharging
1700666594,25530,Charging
1700742578,45435,Discharging
1700733471,26295,Discharging
1700634493,45135,Discharging
1700886093,35595,Discharging
1700253377,54000,Charging
1700284495,54000,Charging
1700152717,28890,Discharging
1701335041,23760,Discharging
1700902039,29430,Discharging
1700891514,20400,Discharging
1700918120,26040,Discharging
1700671832,41025,Discharging
1700177247,26745,Discharging
1701318835,27450,Discharging
1700252537,54000,Charging
1700381963,40050,Discharging
1700443113,27915,Discharging
1700310330,43845,Discharging
1700284015,54000,Discharging
1701221601,33795,Discharging
1701009392,8670,Charging
1700817485,29760,Discharging
1700996160,21330,Discharging
1700209906,36915,Discharging
1700368526,40425,Charging
1700189106,26310,Discharging
1700807871,39660,Discharging
1700724308,38310,Discharging
1700809474,37530,Discharging
1701090374,25020,Discharging
1700225251,21345,Discharging
1700232306,8745,Charging
1700287230,54000,Discharging
1700736689,18195,Charging
1700741948,45090,Charging
1700660803,16065,Discharging
1700797117,40035,Discharging
1701080502,36795,Discharging
1700143289,43140,Discharging
1700927698,19335,Charging
1700958692,54000,Discharging
1700906953,45435,Discharging
1700837591,9000,Charging
1701083775,36405,Discharging
1700201353,11460,Charging
1700908612,45165,Discharging
1700916838,26310,Discharging
1701334274,23850,Discharging
1701052987,54000,Discharging
1700206765,42840,Discharging
1700666276,23550,Charging
1701317173,30915,Discharging
1700252689,54000,Charging
1700311097,42600,Discharging
1700368246,40455,Discharging
1700571908,26895,Charging
1700977594,31845,Discharging
1700992277,26520,Discharging
1701103564,9090,Discharging
1700742557,45435,Discharging
1700491644,24945,Discharging
